sample_id,image_path,split,h2s_concentration_ppm,lighting_type,preprocessing_method,rgb_r_mean,rgb_g_mean,rgb_b_mean,rgb_r_std,rgb_g_std,rgb_b_std,hsv_h_mean,hsv_s_mean,hsv_v_mean,hsv_h_std,hsv_s_std,hsv_v_std,lab_l_mean,lab_a_mean,lab_b_mean,lab_l_std,lab_a_std,lab_b_std,norm_r,norm_g,norm_b,norm_lab_l,norm_lab_a,norm_lab_b,delta_e,ref_patch_delta_e,brightness_mean,brightness_std,blur_score,temperature_c,humidity_pct,exposure_duration_min
H2S-2026-0051,images/test/H2S-2026-0051_20ppm_daylight.png,test,20.0,daylight,card_warp,169.45307052829176,175.61591579511932,180.11088763743632,82.06310164423884,76.4487528451915,68.87623839610276,62.22512737999464,29.235585947975327,181.87194958433898,46.1503105951043,24.944457139956647,70.57162089321616,70.23672434916578,-1.27420219898096,-3.3629659426119605,28.692292554759607,1.0312401378537464,5.133736412850818,0.9116333184574921,0.9288889441375657,0.9596408197031644,0.9353442352279787,-0.08411505301146027,-3.618957228015002,26.640872291536823,36.607356412871006,174.40868865647627,77.1783147368318,768.8835333593519,22.6,46.4,15.0
H2S-2026-0052,images/validation/H2S-2026-0052_20ppm_LED.png,validation,20.0,LED,card_warp,132.10163582729953,159.6796728345401,180.42350496111558,76.2213892707471,75.23342662640717,59.991585469204274,99.9687583802628,82.38508983641727,180.42350496111558,7.750783667008922,44.325292625886455,59.991585469204274,63.37897454503389,-3.836082059533387,-14.50194422097077,27.61891384313435,3.7526090024486596,9.269312222381895,0.7185168717315928,0.7691973535294528,0.8356891158764904,0.7826056808784295,1.7159331910112692,-7.135658817920657,39.10958331449814,36.873569036979575,153.72351836953607,73.8730718518013,1253.2725931885225,22.7,50.4,15.0
H2S-2026-0053,images/train/H2S-2026-0053_20ppm_LED.png,train,20.0,LED,card_warp,162.6348216680075,186.73176454813623,202.9569589702333,80.23499019771177,74.40548482850288,57.4255416843044,96.8048404397962,64.46882542236524,202.9569589702333,11.16429059341754,50.035675462355236,57.4255416843044,73.62098338933322,-3.778626977742022,-11.519509251810137,27.45382036896818,3.2901910408125525,10.306763443203536,1.043718873719675,1.0716883075352701,1.0963658171993307,1.0715755963892488,-0.7802609646701204,-3.2575266810040393,29.977930797548115,44.513514502906574,181.48183159023867,74.08367562871615,590.1813718232668,20.7,48.3,15.0
H2S-2026-0054,images/train/H2S-2026-0054_20ppm_LED.png,train,20.0,LED,card_warp,149.2378653794583,175.66800750871548,194.12503352105122,78.36035436583983,76.24627444450996,59.50983286253723,98.88026280504157,72.61276481630463,194.12503352105122,8.414804811883249,46.61074302797108,59.50983286253723,69.32558274047082,-3.7783588093322606,-13.058728881737732,28.00176414068318,4.076067201157129,10.04903689404919,0.9068127298853098,0.9303115690573518,0.9781208980165265,0.9375051834229085,1.3362926067897405,-5.056277901345577,33.90852944173583,41.399561322570065,169.68778492893537,75.10854887873785,409.0508775665583,24.5,51.9,15.0
H2S-2026-0055,images/holdout/H2S-2026-0055_20ppm_fluorescent.png,holdout,20.0,fluorescent,card_warp,121.95749530705282,159.44422097076963,189.07823813354787,68.43954247551088,75.09510131744189,53.71206725637763,101.322472512738,102.58695360686511,189.07823813354787,8.711716261189379,44.5051078790413,53.71206725637763,63.097187386619964,-3.617122552963261,-20.228345400911774,26.77130884055946,8.377612531043587,12.185282567946173,0.7051897386449139,0.7629874456469935,0.8523823904760234,0.7790100786020341,4.20967483265766,-9.244957601347505,43.369207448394306,38.782531933587634,151.86216143738267,70.42907638523326,594.2188254223653,21.5,52.5,15.0
H2S-2026-0056,images/holdout/H2S-2026-0056_20ppm_fluorescent.png,holdout,20.0,fluorescent,card_warp,148.87556985787074,186.34204880665058,208.08708769107,72.71744979394795,74.77400960136578,51.990966499501326,97.90164923572003,84.28057119871279,208.08708769107,8.545842494216272,49.125905313900276,51.990966499501326,72.92432392640617,-5.854250469294717,-15.840976133011532,26.741165587528887,7.469923337008453,12.745315513449489,1.045390139344472,1.0663200874221719,1.0975990674473521,1.0689962764179723,0.2938976788534351,-4.476324716889531,34.096409155837,46.046885776804544,177.75724054706356,71.35738296806257,557.579871949944,24.2,50.7,15.0
H2S-2026-0057,images/holdout/H2S-2026-0057_20ppm_fluorescent.png,holdout,20.0,fluorescent,card_warp,138.30490748189862,175.80148833467416,200.05665057656208,71.67588511784524,76.12444434971775,54.162489760118284,98.99490480021454,90.90010726736391,200.05665057656208,8.537141467954989,46.99020024718316,54.162489760118284,69.03543503751727,-5.322807723250201,-17.075221238938052,27.195244326698976,7.700291848821231,12.168047660477542,0.8977218609223211,0.9325328461732929,0.9913711716259012,0.9415047285208419,2.015699902022127,-6.172171130005591,37.30182838174927,43.244924186608586,167.28083936712255,72.2998567003272,415.49822635973936,22.7,57.8,15.0
H2S-2026-0058,images/validation/H2S-2026-0058_20ppm_dim_indoor.png,validation,20.0,dim_indoor,card_warp,164.14025207830517,160.59218289085547,139.1790024135157,72.49477866212187,74.98193589936889,56.64961848806085,23.884687583802627,36.58024939662108,164.47043443282382,15.799324096438312,9.879927227403392,72.18901917359294,64.7937206526483,-2.1611692142665593,11.233440600697238,27.30309140069418,4.032970756744817,8.88319649278888,0.7751516042357602,0.7704658057044285,0.7172584535335267,0.7835445757203399,-1.2238053798439044,3.3508153283660835,27.241834798393356,43.050950592164995,159.22385358004826,72.12648094850857,996.0934566908019,20.6,44.2,15.0
H2S-2026-0059,images/validation/H2S-2026-0059_20ppm_dim_indoor.png,validation,20.0,dim_indoor,card_warp,187.80028157683026,185.99812282113166,161.57602574416734,73.19751253033758,74.88772321228912,58.71150267349387,26.55799141861089,33.71406543309198,188.05182354518638,12.677045570933869,9.762957123546412,72.86304269961936,74.12606018540428,-3.4599088227406813,12.403727540895682,27.25008217017206,3.3308353352129187,7.878496864366281,1.0459348597869018,1.0764808349121466,0.994832511217649,1.065269165007139,-4.8833837682744505,5.786625144381526,18.046935247827125,50.88214144071429,183.60311075355324,72.69250822417325,611.472161090576,20.7,58.7,15.0
H2S-2026-0060,images/train/H2S-2026-0060_20ppm_dim_indoor.png,train,20.0,dim_indoor,card_warp,179.3980960042907,174.83614910163584,148.95997586484313,73.03091460605013,77.04719516947337,57.13592698961199,23.53834808259587,41.66043175113972,179.63173773129526,16.831331373411142,8.674266502575026,72.7408364886217,70.14073583308357,-2.4716411906677394,13.216478948779834,27.85212361872387,4.716905317889395,9.399936628860942,0.9227557712037858,0.9314975232566033,0.9035557578910309,0.9360695443387298,-1.8433732168115284,0.7118493191502147,21.942492537219447,47.63271936057271,173.33715473317244,73.52216909846905,1088.0185282688985,23.1,58.5,15.0
